circuit_type,circuit_name,num_inputs,num_gates,num_clauses,satisfiable,runtime_ms,memory_usage_mb,timestamp,lbv_rounds,metadata,solver_output,error
target_and,TargetAND_m4,4,7,20,False,24.41120147705078,0.0,2026-07-14 09:40:14,3,"{'m': 4, 'lbv_rounds': 3, 'satisfying_assignment': '{0: False, 1: True, 2: False, 3: False}'}",,
target_and,TargetAND_m6,6,11,32,False,23.67877960205078,0.0,2026-07-14 09:40:14,3,"{'m': 6, 'lbv_rounds': 3, 'satisfying_assignment': '{0: False, 1: True, 2: True, 3: False, 4: False, 5: False}'}",,
target_and,TargetAND_m8,8,15,44,False,19.850969314575195,0.0,2026-07-14 09:40:14,4,"{'m': 8, 'lbv_rounds': 4, 'satisfying_assignment': '{0: True, 1: False, 2: True, 3: True, 4: False, 5: False, 6: False, 7: False}'}",,
target_and,TargetAND_m10,10,19,56,False,15.891075134277344,0.0,2026-07-14 09:40:14,4,"{'m': 10, 'lbv_rounds': 4, 'satisfying_assignment': '{0: True, 1: False, 2: True, 3: True, 4: True, 5: False, 6: False, 7: False, 8: False, 9: False}'}",,
target_and,TargetAND_m12,12,23,68,False,30.95531463623047,0.0,2026-07-14 09:40:14,4,"{'m': 12, 'lbv_rounds': 4, 'satisfying_assignment': '{0: True, 1: False, 2: False, 3: True, 4: True, 5: True, 6: False, 7: False, 8: False, 9: False, 10: False, 11: False}'}",,
target_and,TargetAND_m14,14,27,80,False,24.912357330322266,0.0,2026-07-14 09:40:14,4,"{'m': 14, 'lbv_rounds': 4, 'satisfying_assignment': '{0: True, 1: False, 2: False, 3: True, 4: True, 5: True, 6: True, 7: False, 8: False, 9: False, 10: False, 11: False, 12: False, 13: False}'}",,
target_and,TargetAND_m16,16,31,92,False,22.560834884643555,0.0,2026-07-14 09:40:14,5,"{'m': 16, 'lbv_rounds': 5, 'satisfying_assignment': '{0: False, 1: True, 2: False, 3: False, 4: True, 5: True, 6: True, 7: True, 8: False, 9: False, 10: False, 11: False, 12: False, 13: False, 14: False, 15: False}'}",,
target_and,TargetAND_m18,18,35,104,False,27.35614776611328,0.0,2026-07-14 09:40:14,5,"{'m': 18, 'lbv_rounds': 5, 'satisfying_assignment': '{0: False, 1: True, 2: False, 3: False, 4: True, 5: True, 6: True, 7: True, 8: True, 9: False, 10: False, 11: False, 12: False, 13: False, 14: False, 15: False, 16: False, 17: False}'}",,
target_and,TargetAND_m20,20,39,116,False,25.545358657836914,0.0,2026-07-14 09:40:14,5,"{'m': 20, 'lbv_rounds': 5, 'satisfying_assignment': '{0: False, 1: True, 2: False, 3: False, 4: False, 5: True, 6: True, 7: True, 8: True, 9: True, 10: False, 11: False, 12: False, 13: False, 14: False, 15: False, 16: False, 17: False, 18: False, 19: False}'}",,
target_and_random,TargetAND_m10_d1,10,27,91,False,10.970830917358398,0.0,2026-07-14 09:40:14,4,"{'m': 10, 'depth': 1, 'lbv_rounds': 4}",,
target_and_random,TargetAND_m10_d2,10,30,104,False,16.190767288208008,0.0,2026-07-14 09:40:14,4,"{'m': 10, 'depth': 2, 'lbv_rounds': 4}",,
target_and_random,TargetAND_m10_d3,10,33,117,False,27.974843978881836,0.0,2026-07-14 09:40:14,4,"{'m': 10, 'depth': 3, 'lbv_rounds': 4}",,
target_and_random,TargetAND_m10_d4,10,35,127,False,31.493186950683594,0.0,2026-07-14 09:40:14,4,"{'m': 10, 'depth': 4, 'lbv_rounds': 4}",,
target_and_random,TargetAND_m10_d5,10,38,139,False,31.63909912109375,0.0,2026-07-14 09:40:14,4,"{'m': 10, 'depth': 5, 'lbv_rounds': 4}",,
target_and_random,TargetAND_m10_d6,10,40,149,False,23.92745018005371,0.0,2026-07-14 09:40:14,4,"{'m': 10, 'depth': 6, 'lbv_rounds': 4}",,
target_and_random,TargetAND_m10_d7,10,42,157,False,23.654699325561523,0.0,2026-07-14 09:40:14,4,"{'m': 10, 'depth': 7, 'lbv_rounds': 4}",,
target_and_random,TargetAND_m10_d8,10,44,165,False,15.782833099365234,0.0,2026-07-14 09:40:14,4,"{'m': 10, 'depth': 8, 'lbv_rounds': 4}",,
target_and_random,TargetAND_m10_d9,10,47,177,False,16.02339744567871,0.0,2026-07-14 09:40:14,4,"{'m': 10, 'depth': 9, 'lbv_rounds': 4}",,
target_and_random,TargetAND_m10_d10,10,49,185,False,33.695220947265625,0.0,2026-07-14 09:40:14,4,"{'m': 10, 'depth': 10, 'lbv_rounds': 4}",,
